timestamp,src_ip,dst_ip,protocol,src_port,dst_port,packet_size,packets,bytes,direction,tcp_flags
2025-09-01T23:44:25,192.168.125.58,172.20.52.174,ICMP,49564,25,139,4,556,internal→external,
2025-09-01T23:44:27,10.111.119.130,172.16.101.184,UDP,43614,5432,225,3,675,internal→external,
2025-09-01T23:44:29,172.16.81.179,192.168.174.72,TCP,110,15134,212,1,212,external→internal,"PSH,ACK"
2025-09-01T23:44:31,10.183.176.155,172.24.22.187,TCP,31132,25,212,6,1272,internal→external,"FIN,ACK"
2025-09-01T23:44:33,172.27.98.181,10.23.116.198,TCP,8080,6253,631,1,631,external→internal,"SYN,ACK"
2025-09-01T23:44:35,192.168.186.42,172.27.181.54,DNS,44944,53,150,9,1350,internal→external,
2025-09-01T23:44:37,10.87.125.42,192.168.194.70,TCP,61670,42967,184,1,184,internal→internal,FIN
2025-09-01T23:44:39,10.117.16.207,172.26.205.69,TCP,5361,143,338,1,338,internal→external,"PSH,ACK"
2025-09-01T23:44:41,10.255.202.227,192.168.73.68,UDP,10174,17186,282,2,564,internal→internal,
2025-09-01T23:44:43,192.168.204.93,172.23.70.131,HTTP,33367,80,77,1,77,internal→external,SYN
2025-09-01T23:44:45,10.216.32.99,172.28.239.136,TCP,17500,22,133,1,133,internal→external,FIN
2025-09-01T23:44:47,192.168.174.29,192.168.222.41,TCP,30759,1236,295,2,590,internal→internal,"PSH,ACK"
2025-09-01T23:44:49,10.54.152.216,172.22.78.96,DNS,50995,53,178,1,178,internal→external,
2025-09-01T23:44:51,10.165.250.5,10.185.157.62,TCP,4820,16809,213,2,426,internal→internal,"SYN,ACK"
2025-09-01T23:44:53,192.168.35.251,172.20.65.169,TLS,32172,443,176,3,528,internal→external,"PSH,ACK"
2025-09-01T23:44:55,192.168.108.238,172.22.159.103,TCP,45043,3306,261,1,261,internal→external,ACK
2025-09-01T23:44:57,10.32.173.6,172.23.112.2,UDP,5676,22,170,3,510,internal→external,
2025-09-01T23:44:59,192.168.36.132,10.142.248.55,TCP,36363,9695,205,2,410,internal→internal,FIN
2025-09-01T23:45:01,172.23.242.207,192.168.97.25,DNS,53,7376,119,1,119,external→internal,
2025-09-01T23:45:03,192.168.239.222,172.17.50.16,ICMP,27410,3306,77,7,539,internal→external,
2025-09-01T23:45:05,10.97.229.36,172.29.93.72,HTTP,31342,80,400,1,400,internal→external,SYN
2025-09-01T23:45:07,10.25.7.249,172.18.121.43,TLS,27658,443,117,2,234,internal→external,ACK
2025-09-01T23:45:09,10.84.194.1,172.28.135.238,TCP,52408,6379,110,9,990,internal→external,ACK
2025-09-01T23:45:11,192.168.79.49,192.168.111.248,HTTP,4856,38981,275,4,1100,internal→internal,FIN
2025-09-01T23:45:13,10.244.80.15,172.18.95.18,TCP,40020,25,381,1,381,internal→external,FIN
2025-09-01T23:45:15,10.20.41.108,172.26.133.53,TCP,44915,3306,271,1,271,internal→external,SYN
2025-09-01T23:45:17,192.168.234.81,10.4.234.160,TCP,37920,7576,228,2,456,internal→internal,SYN
2025-09-01T23:45:19,192.168.35.226,172.23.189.73,TCP,11362,6379,204,1,204,internal→external,"SYN,ACK"
2025-09-01T23:45:21,172.16.153.239,10.68.135.30,HTTP,80,59332,185,1,185,external→internal,SYN
2025-09-01T23:45:23,10.175.104.176,172.24.250.65,UDP,60356,22,461,2,922,internal→external,
2025-09-01T23:45:25,192.168.22.1,172.26.66.164,TCP,65236,8080,297,1,297,internal→external,SYN
2025-09-01T23:45:27,10.57.38.242,10.18.189.150,TCP,37234,10729,194,11,2134,internal→internal,ACK
2025-09-01T23:45:29,10.183.107.175,172.23.52.91,TCP,52149,5432,163,1,163,internal→external,"FIN,ACK"
2025-09-01T23:45:31,10.83.90.226,192.168.12.46,HTTP,49295,61611,353,5,1765,internal→internal,ACK
2025-09-01T23:45:33,10.136.81.202,10.195.19.220,TLS,31871,15601,454,4,1816,internal→internal,SYN
2025-09-01T23:45:35,10.114.12.169,172.22.204.85,TLS,19282,443,427,1,427,internal→external,"SYN,ACK"
2025-09-01T23:45:37,192.168.169.241,172.16.59.225,TLS,64620,443,147,5,735,internal→external,ACK
2025-09-01T23:45:39,10.55.222.89,192.168.223.156,UDP,65526,34540,203,3,609,internal→internal,
2025-09-01T23:45:41,10.130.22.182,192.168.0.134,TCP,61682,53879,183,1,183,internal→internal,PSH
2025-09-01T23:45:43,10.186.220.18,192.168.160.170,HTTP,56599,9191,218,1,218,internal→internal,FIN
2025-09-01T23:45:45,192.168.167.104,172.25.65.50,TCP,28578,5432,398,6,2388,internal→external,FIN
2025-09-01T23:45:47,172.25.207.141,10.155.146.54,TLS,443,29197,552,2,1104,external→internal,"SYN,ACK"
2025-09-01T23:45:49,192.168.226.173,172.22.242.204,UDP,60083,110,303,4,1212,internal→external,
2025-09-01T23:45:51,192.168.47.210,172.23.158.58,ICMP,53882,143,94,3,282,internal→external,
2025-09-01T23:45:53,192.168.37.117,172.29.99.184,TCP,46660,5432,239,2,478,internal→external,ACK
2025-09-01T23:45:55,10.54.217.57,10.237.25.143,TCP,17355,61151,625,2,1250,internal→internal,"SYN,ACK"
2025-09-01T23:45:57,192.168.226.157,192.168.228.230,UDP,11454,49760,257,1,257,internal→internal,
2025-09-01T23:45:59,10.141.248.161,172.23.140.113,DNS,6101,53,108,2,216,internal→external,
2025-09-01T23:46:01,192.168.163.229,172.18.70.39,HTTP,16179,80,214,2,428,internal→external,ACK
2025-09-01T23:46:03,192.168.208.85,172.30.212.16,TCP,14579,5432,303,4,1212,internal→external,ACK
2025-09-01T23:46:05,10.194.244.2,192.168.152.193,HTTP,26582,56955,150,7,1050,internal→internal,"SYN,ACK"
2025-09-01T23:46:07,10.249.112.70,172.29.248.8,DNS,26508,53,99,5,495,internal→external,
2025-09-01T23:46:09,192.168.84.216,192.168.65.252,TCP,41804,36028,423,5,2115,internal→internal,SYN
2025-09-01T23:46:11,172.16.42.165,192.168.69.222,TCP,6379,12933,298,1,298,external→internal,SYN
